,challengeID,gpa,grit,materialHardship,eviction,layoff,jobTraining
0,7,2.5,3.25,0.0,0.0,0.0,0.0
1,8,,,,,,
2,13,2.75,4.0,0.181818181818182,0.0,0.0,1.0
3,14,3.25,2.75,0.272727272727273,0.0,1.0,0.0
4,16,2.0,3.5,0.0909090909090909,0.0,0.0,1.0
5,18,2.25,3.0,0.0,0.0,1.0,0.0
6,24,3.25,3.5,0.0909090909090909,0.0,0.0,1.0
7,28,,,,,,
8,30,3.0,4.0,0.0909090909090909,0.0,1.0,0.0
9,35,3.0,3.0,0.181818181818182,0.0,0.0,0.0
10,36,,,,,,
11,40,3.0,3.5,0.0909090909090909,0.0,,0.0
12,45,3.0,4.0,0.0,0.0,,0.0
13,46,3.5,4.0,0.0,0.0,0.0,1.0
14,53,2.75,3.75,0.0,0.0,0.0,0.0
15,55,,3.0,0.363636363636364,0.0,0.0,0.0
16,58,3.25,3.75,0.0909090909090909,0.0,,0.0
17,60,2.75,3.5,0.0,0.0,0.0,1.0
18,66,3.5,4.0,0.0,0.0,,0.0
19,67,,3.75,0.272727272727273,0.0,0.0,0.0
20,73,,,,,,
21,76,,,,,,
22,79,,,0.454545454545455,0.0,1.0,0.0
23,81,,4.0,0.0,0.0,0.0,0.0
24,84,2.75,4.0,0.0,0.0,0.0,0.0
25,85,,3.5,0.454545454545455,0.0,,1.0
26,94,,3.25,0.181818181818182,0.0,1.0,1.0
27,104,2.5,3.5,0.181818181818182,0.0,1.0,0.0
28,109,,,,,,
29,110,3.25,4.0,0.0,0.0,0.0,0.0
30,111,3.75,3.25,0.545454545454545,1.0,0.0,1.0
31,119,1.25,3.25,0.0,0.0,0.0,0.0
32,120,,,,,,
33,123,2.75,3.0,0.181818181818182,0.0,0.0,0.0
34,126,,,,,,
35,137,2.25,3.25,0.0,0.0,0.0,0.0
36,153,,,,,,
37,155,,,,,,
38,162,,,,,,
39,163,,,,,,
40,167,3.0,2.25,0.0909090909090909,0.0,0.0,0.0
41,168,2.25,4.0,0.0909090909090909,0.0,0.0,0.0
42,170,,,,,,
43,171,,,,,,
44,172,,,,,,
45,173,3.25,3.25,0.0,0.0,0.0,0.0
46,183,2.75,3.25,0.454545454545455,1.0,0.0,0.0
47,189,2.5,3.25,0.0,0.0,1.0,1.0
48,193,2.5,4.0,0.0,0.0,,0.0
49,195,,,,,,
50,199,3.0,3.75,0.0,0.0,0.0,0.0
51,204,2.25,4.0,0.0909090909090909,0.0,,0.0
52,215,,,,,,
53,217,,,,,,
54,219,,,,,,
55,224,,,,,,
56,234,3.25,3.25,0.0,0.0,0.0,0.0
57,235,2.5,3.75,0.0,0.0,0.0,0.0
58,236,2.75,4.0,0.0909090909090909,0.0,0.0,0.0
59,242,3.0,3.5,0.0,0.0,0.0,0.0
60,247,,2.0,0.0,0.0,0.0,0.0
61,248,2.25,3.5,0.272727272727273,0.0,0.0,1.0
62,251,3.0,3.5,0.0,0.0,0.0,0.0
63,254,2.5,2.75,0.272727272727273,1.0,0.0,0.0
64,258,,,,,,
65,259,,,,,,
66,281,3.0,3.25,0.0,0.0,1.0,0.0
67,282,2.5,4.0,0.272727272727273,0.0,1.0,1.0
68,291,,,,,,
69,297,,2.75,0.727272727272727,1.0,1.0,0.0
70,300,1.75,3.0,0.0,0.0,0.0,1.0
71,301,3.0,4.0,0.0,0.0,0.0,0.0
72,302,2.75,4.0,0.0,0.0,0.0,0.0
73,306,,3.25,0.0,0.0,0.0,1.0
74,309,2.25,3.5,0.0909090909090909,0.0,1.0,0.0
75,311,,,,,,
76,315,3.0,4.0,0.0,0.0,0.0,0.0
77,317,,4.0,0.0,0.0,,0.0
78,324,3.25,4.0,0.818181818181818,1.0,0.0,0.0
79,326,,,,,,
80,330,2.5,3.75,0.363636363636364,0.0,1.0,0.0
81,334,,4.0,0.0,0.0,,0.0
82,346,,,,,,
83,355,,,,,,
84,359,2.25,3.25,0.545454545454545,1.0,1.0,1.0
85,365,,,,,,
86,369,,,,,,
87,373,2.5,3.75,0.0,0.0,0.0,0.0
88,376,2.5,4.0,0.0,0.0,0.0,0.0
89,389,,,,,,
90,394,2.75,4.0,0.0,0.0,0.0,1.0
91,399,,,,,,
92,401,1.75,3.25,0.0909090909090909,0.0,1.0,1.0
93,403,3.0,3.0,0.0,0.0,0.0,0.0
94,417,3.0,3.75,0.0,0.0,0.0,1.0
95,423,,,,,,
