,challengeID,gpa,grit,materialHardship,eviction,layoff,jobTraining
0,1,,,,,,
1,10,3.25,3.25,0.0909090909090909,0.0,,0.0
2,20,,3.0,0.0,0.0,0.0,0.0
3,23,2.5,3.25,0.0,0.0,0.0,0.0
4,43,3.0,3.25,0.272727272727273,0.0,0.0,0.0
5,47,3.5,3.25,0.0,0.0,,0.0
6,52,3.25,4.0,0.0,0.0,0.0,0.0
7,54,,,,,,
8,61,4.0,3.5,0.0,0.0,0.0,0.0
9,64,3.75,3.0,0.0909090909090909,0.0,0.0,1.0
10,70,3.5,2.75,0.0,0.0,0.0,1.0
11,72,3.25,2.75,0.272727272727273,0.0,0.0,0.0
12,75,,,,,,
13,83,,,,,,
14,97,,,,,,
15,107,3.25,3.5,0.181818181818182,0.0,0.0,0.0
16,122,,,,,,
17,125,2.25,2.5,0.181818181818182,0.0,0.0,0.0
18,131,3.5,3.5,0.0909090909090909,0.0,0.0,0.0
19,143,3.5,4.0,0.0,0.0,,0.0
20,145,2.5,4.0,0.0,0.0,1.0,0.0
21,165,1.5,2.75,0.454545454545455,1.0,0.0,0.0
22,196,2.75,4.0,0.272727272727273,0.0,0.0,1.0
23,205,,2.5,0.272727272727273,0.0,0.0,0.0
24,207,,,,,,
25,208,4.0,3.5,0.0909090909090909,0.0,0.0,0.0
26,209,,,,,,
27,227,,2.75,0.0,0.0,0.0,0.0
28,230,2.75,3.25,0.0,0.0,0.0,0.0
29,256,,,,,,
30,257,1.75,3.75,0.272727272727273,0.0,0.0,0.0
31,262,3.75,3.5,0.181818181818182,0.0,0.0,1.0
32,271,3.5,4.0,0.181818181818182,0.0,0.0,0.0
33,273,,,,,,
34,289,,3.0,0.0909090909090909,0.0,1.0,0.0
35,292,,3.75,0.0,0.0,0.0,0.0
36,295,,2.0,0.0,0.0,0.0,0.0
37,298,,,,,,
38,299,,,0.0,0.0,0.0,0.0
39,305,,,,,,
40,314,2.25,3.5,0.0,0.0,,0.0
41,321,4.0,4.0,0.0,0.0,0.0,1.0
42,323,,,,,,
43,332,2.75,3.75,0.0,0.0,0.0,0.0
44,338,1.5,4.0,0.0,0.0,0.0,0.0
45,339,,3.25,0.545454545454545,0.0,1.0,0.0
46,347,2.5,2.25,0.0,0.0,0.0,0.0
47,356,2.25,2.25,0.272727272727273,1.0,0.0,0.0
48,367,2.25,2.75,0.0,0.0,0.0,0.0
49,377,3.25,3.25,0.0,0.0,0.0,0.0
50,382,3.75,4.0,0.0,0.0,0.0,0.0
51,386,4.0,4.0,0.0,0.0,0.0,0.0
52,391,3.25,3.0,0.0,0.0,0.0,0.0
53,397,,,,,,
54,405,,,,,,
55,407,,3.25,0.181818181818182,0.0,1.0,0.0
56,408,,,,,,
57,411,,3.25,0.181818181818182,0.0,0.0,0.0
58,424,4.0,4.0,0.0,0.0,0.0,0.0
59,425,,3.25,0.0,0.0,,0.0
60,432,,3.75,0.454545454545455,1.0,1.0,1.0
61,437,4.0,3.5,0.0,0.0,,0.0
62,442,,,,,,
63,447,2.25,2.0,0.0909090909090909,0.0,0.0,0.0
64,459,,,,,,
65,465,,,,,,
66,509,2.75,3.75,0.272727272727273,0.0,0.0,0.0
67,510,,3.25,0.363636363636364,0.0,1.0,0.0
68,517,,,,,,
69,525,4.0,3.0,0.0,0.0,0.0,0.0
70,530,,3.5,0.0909090909090909,0.0,0.0,0.0
71,534,3.75,4.0,0.0,0.0,0.0,0.0
72,536,,,,,,
73,564,2.75,3.5,0.0,0.0,0.0,0.0
74,568,,3.75,0.363636363636364,0.0,,0.0
75,576,3.25,3.0,0.0,0.0,1.0,1.0
76,577,3.25,4.0,0.0,0.0,,0.0
77,584,3.0,3.25,0.0,0.0,0.0,0.0
78,612,2.5,3.25,0.454545454545455,0.0,0.0,0.0
79,622,3.5,2.5,0.0,0.0,0.0,0.0
80,624,3.75,3.0,0.0,0.0,0.0,0.0
81,635,3.5,3.0,0.0,0.0,1.0,1.0
82,641,,,,,,
83,643,3.25,4.0,0.0,0.0,0.0,0.0
84,646,,,,,,
85,661,3.25,3.0,0.0,0.0,0.0,0.0
86,673,,3.25,0.0909090909090909,0.0,0.0,0.0
87,686,,,0.0,0.0,0.0,1.0
88,690,3.5,3.25,0.0,0.0,0.0,0.0
89,700,4.0,3.75,0.0,0.0,,0.0
90,701,3.5,3.5,0.0,0.0,0.0,0.0
91,708,,,,,,
92,727,,,0.0,0.0,,0.0
93,758,,,,,,
94,759,3.25,2.75,0.0,0.0,0.0,0.0
95,762,3.0,2.25,0.0909090909090909,0.0,0.0,0.0
96,763,,,,,,
97,783,2.75,4.0,0.0,0.0,1.0,1.0
98,795,4.0,3.25,0.0909090909090909,0.0,0.0,0.0
99,814,3.75,3.75,0.0,0.0,0.0,1.0
100,822,,,,,,
101,846,,3.5,0.0909090909090909,0.0,0.0,0.0
102,858,2.0,4.0,0.0909090909090909,0.0,0.0,1.0
103,863,2.5,2.5,0.0,0.0,0.0,0.0
104,869,2.25,2.75,0.0,0.0,0.0,0.0
105,877,3.25,3.75,0.0,0.0,0.0,0.0
106,887,2.25,2.0,0.181818181818182,0.0,0.0,0.0
107,897,,3.75,0.0,0.0,0.0,0.0
108,901,2.5,3.25,0.545454545454545,1.0,1.0,1.0
109,925,1.75,3.0,0.0,1.0,0.0,1.0
110,939,3.75,2.75,0.0,0.0,0.0,0.0
111,955,,,,,,
112,963,,2.0,0.0,1.0,0.0,0.0
113,986,,,,,,
114,993,3.25,3.75,0.0,0.0,0.0,0.0
115,1002,2.75,3.0,0.181818181818182,0.0,0.0,0.0
116,1005,3.75,3.25,0.0909090909090909,0.0,,0.0
117,1012,1.75,3.0,0.363636363636364,0.0,0.0,0.0
118,1025,,,,,,
119,1026,,,0.0,0.0,0.0,0.0
120,1034,,,,,,
121,1035,,,,,,
122,1103,,3.5,0.0,0.0,1.0,0.0
123,1118,3.5,3.5,0.0909090909090909,0.0,1.0,0.0
124,1119,3.25,3.25,0.0,0.0,0.0,0.0
125,1125,,,,,,
126,1140,,,,,,
127,1149,,,,,,
128,1159,3.5,4.0,0.0,0.0,0.0,0.0
129,1160,,,,,,
130,1166,3.5,3.75,0.0,0.0,,0.0
131,1172,3.5,3.5,0.0909090909090909,0.0,,0.0
132,1174,,,,,,
133,1181,,2.75,0.454545454545455,0.0,0.0,0.0
134,1183,3.0,3.25,0.0,0.0,0.0,1.0
135,1193,,2.75,0.181818181818182,0.0,1.0,0.0
136,1204,3.0,3.0,0.0,0.0,0.0,0.0
137,1234,3.75,4.0,0.0,0.0,0.0,1.0
138,1238,4.0,3.5,0.0,0.0,,0.0
139,1250,2.5,3.25,0.0,0.0,0.0,0.0
140,1256,4.0,4.0,0.0,0.0,0.0,0.0
141,1259,3.0,3.25,0.0,0.0,0.0,0.0
142,1275,,,,,,
143,1286,3.5,3.5,0.0,0.0,,0.0
144,1298,3.25,3.25,0.272727272727273,0.0,0.0,0.0
145,1303,3.25,4.0,0.0,0.0,0.0,1.0
146,1305,,,,,,
147,1322,,,,,,
148,1329,3.5,4.0,0.0,0.0,0.0,1.0
149,1331,3.25,3.0,0.0,0.0,0.0,0.0
150,1340,3.25,4.0,0.0909090909090909,0.0,0.0,0.0
151,1341,2.75,2.75,0.727272727272727,1.0,,0.0
152,1356,3.75,3.75,0.0,0.0,0.0,1.0
153,1367,,4.0,0.0,0.0,0.0,0.0
154,1371,1.75,3.0,0.0,0.0,0.0,0.0
155,1372,4.0,3.75,0.0,0.0,0.0,0.0
156,1373,,2.75,0.0,0.0,0.0,0.0
157,1382,,3.75,0.272727272727273,1.0,1.0,0.0
158,1410,1.75,3.0,0.0,0.0,,0.0
159,1411,,,0.0,0.0,1.0,0.0
160,1412,2.0,2.5,0.0,0.0,0.0,1.0
161,1420,1.5,3.75,0.272727272727273,1.0,,0.0
162,1423,,,0.0,0.0,0.0,0.0
163,1425,,,,,,
164,1426,,,,,,
165,1444,3.5,3.75,0.0,0.0,0.0,1.0
166,1448,2.75,3.0,0.0,0.0,1.0,0.0
167,1463,,2.75,0.0,0.0,,0.0
168,1483,4.0,2.5,0.0909090909090909,0.0,0.0,0.0
169,1499,2.75,3.25,0.363636363636364,0.0,0.0,0.0
170,1505,3.0,3.75,0.0,0.0,0.0,0.0
171,1510,3.0,2.75,0.0,0.0,0.0,0.0
172,1517,,,,,,
173,1529,,,,,,
174,1535,,,,,,
175,1538,3.0,2.5,0.0,0.0,0.0,0.0
176,1539,,,,,,
177,1550,,3.25,0.0,0.0,0.0,1.0
178,1557,2.75,4.0,0.0,0.0,0.0,0.0
179,1560,,,,,,
180,1563,2.75,2.5,0.0,0.0,0.0,0.0
181,1574,3.5,3.5,0.0,0.0,0.0,0.0
182,1580,,,,,,
183,1593,3.0,3.75,0.0,0.0,0.0,0.0
184,1613,,,,,,
185,1618,,,,,,
186,1619,,3.5,0.0,0.0,0.0,0.0
187,1621,3.0,4.0,0.0,0.0,0.0,0.0
188,1626,2.75,3.25,0.454545454545455,0.0,0.0,0.0
189,1641,,3.75,0.0,0.0,,1.0
190,1664,3.5,4.0,0.0,0.0,0.0,0.0
191,1715,,3.5,0.0,0.0,0.0,0.0
192,1722,,,,,,
193,1729,,3.5,0.0,0.0,0.0,0.0
194,1732,4.0,2.75,0.0,0.0,0.0,1.0
195,1735,3.5,3.0,0.0,0.0,0.0,0.0
196,1739,3.5,3.25,0.0,0.0,0.0,1.0
197,1740,3.0,3.0,0.0,0.0,0.0,1.0
198,1783,2.0,3.0,0.0,1.0,0.0,0.0
199,1786,,,,,,
200,1791,,3.75,0.0,0.0,0.0,0.0
201,1804,3.25,3.5,0.0,0.0,0.0,0.0
202,1809,,,,,,
203,1814,2.5,3.75,0.0909090909090909,0.0,0.0,1.0
204,1817,2.75,3.75,0.0,0.0,0.0,1.0
205,1819,,,0.0,0.0,,0.0
206,1827,,3.25,0.0,0.0,,0.0
207,1833,3.25,3.0,0.0,0.0,0.0,0.0
208,1838,3.0,3.5,0.0,0.0,0.0,0.0
209,1907,3.25,3.5,0.0,0.0,0.0,0.0
210,1918,,,,,,
211,1937,,,,,,
212,1955,,3.0,0.0909090909090909,0.0,0.0,0.0
213,1965,1.75,4.0,0.454545454545455,0.0,0.0,1.0
214,1970,2.5,3.75,0.0909090909090909,0.0,0.0,1.0
215,1978,4.0,3.5,0.0,0.0,0.0,0.0
216,1981,3.0,3.0,0.0,0.0,0.0,0.0
217,1992,2.75,3.5,0.0,0.0,0.0,0.0
218,2002,,,,,,
219,2006,3.25,4.0,0.0,0.0,0.0,0.0
220,2007,,,,,,
221,2012,3.25,3.25,0.363636363636364,0.0,0.0,1.0
222,2014,3.5,3.75,0.0,0.0,,0.0
223,2020,4.0,3.75,0.0,0.0,0.0,0.0
224,2058,2.25,3.0,0.0,0.0,1.0,0.0
225,2066,1.75,3.0,0.0,0.0,0.0,1.0
226,2070,3.25,4.0,0.0,0.0,0.0,0.0
227,2075,,3.5,0.0,0.0,0.0,0.0
228,2097,,,,,,
229,2099,3.25,3.25,0.0,0.0,0.0,0.0
230,2109,3.5,4.0,0.0,0.0,,0.0
231,2120,3.5,3.0,0.0,0.0,0.0,0.0
232,2129,,,,,,
233,2144,,,,,,
234,2146,,,,,,
235,2149,3.0,2.75,0.0,0.0,0.0,1.0
236,2157,,,,,,
237,2160,3.0,3.0,0.0,0.0,0.0,0.0
238,2165,,3.75,0.0,0.0,1.0,0.0
239,2177,3.75,3.25,0.0,0.0,0.0,1.0
240,2182,2.0,3.0,0.0,0.0,0.0,0.0
241,2189,3.5,3.25,0.0,0.0,0.0,0.0
242,2194,,,,,,
243,2195,,,,,,
244,2200,3.75,3.75,0.0,0.0,0.0,0.0
245,2206,,,,,,
246,2209,4.0,3.75,0.181818181818182,0.0,0.0,0.0
247,2216,,3.75,0.181818181818182,0.0,1.0,0.0
248,2223,,,,,,
249,2235,2.75,3.75,0.454545454545455,0.0,,0.0
250,2258,,,,,,
251,2265,2.5,3.0,0.454545454545455,0.0,0.0,0.0
252,2266,3.75,3.75,0.454545454545455,0.0,,0.0
253,2268,,,,,,
254,2274,4.0,3.75,0.545454545454545,0.0,1.0,1.0
255,2285,,,,,,
256,2287,,,,,,
257,2298,2.5,3.5,0.181818181818182,0.0,,0.0
258,2301,,,,,,
259,2324,2.0,3.0,0.0,0.0,0.0,1.0
260,2335,,,,,,
261,2342,,,,,,
262,2355,,,,,,
263,2357,3.0,3.0,0.0,0.0,0.0,0.0
264,2373,,3.0,0.0909090909090909,0.0,0.0,0.0
265,2374,3.5,4.0,0.0,0.0,0.0,0.0
266,2379,,,,,,
267,2395,,,,,,
268,2406,3.25,3.0,0.272727272727273,0.0,0.0,0.0
269,2407,3.25,3.25,0.0,0.0,0.0,1.0
270,2411,3.25,2.25,0.0909090909090909,0.0,0.0,0.0
271,2422,2.5,3.0,0.0,0.0,0.0,1.0
272,2426,,3.75,0.0,0.0,0.0,0.0
273,2430,3.75,3.75,0.0,0.0,1.0,1.0
274,2436,4.0,3.25,0.0,0.0,0.0,0.0
275,2441,4.0,3.5,0.0,0.0,0.0,1.0
276,2448,2.75,3.25,0.0,0.0,0.0,1.0
277,2453,3.75,4.0,0.363636363636364,0.0,1.0,1.0
278,2461,,,,,,
279,2469,,3.0,0.636363636363636,1.0,0.0,0.0
280,2481,3.75,3.5,0.0,0.0,,0.0
281,2491,2.5,3.25,0.0,0.0,0.0,0.0
282,2500,,4.0,0.0,1.0,1.0,1.0
283,2502,3.75,4.0,0.0,0.0,0.0,0.0
284,2522,3.25,4.0,0.0,0.0,0.0,0.0
285,2527,3.5,3.25,0.0,0.0,,0.0
286,2531,3.25,2.75,0.0,0.0,0.0,0.0
287,2533,,,0.0,0.0,0.0,0.0
288,2543,3.5,3.5,,,,
289,2546,2.0,2.75,0.0909090909090909,1.0,1.0,1.0
290,2558,4.0,3.0,0.0,0.0,0.0,1.0
291,2560,4.0,4.0,0.0,0.0,0.0,0.0
292,2562,,,,,,
293,2565,,3.75,0.0909090909090909,0.0,0.0,1.0
294,2577,,,,,,
295,2580,2.5,3.5,0.0,0.0,0.0,0.0
296,2587,3.5,3.25,0.0,0.0,0.0,0.0
297,2598,,3.0,0.0,0.0,0.0,0.0
298,2613,,,,,,
299,2620,,3.0,0.0,0.0,0.0,0.0
300,2631,,4.0,0.0,0.0,0.0,0.0
301,2632,,,,,,
302,2633,,,,,,
303,2656,4.0,3.5,0.0,0.0,0.0,0.0
304,2668,2.75,2.25,0.0,0.0,1.0,1.0
305,2670,3.25,3.25,0.454545454545455,0.0,0.0,1.0
306,2679,,,,,,
307,2714,2.75,3.25,0.0909090909090909,0.0,1.0,1.0
308,2729,,,,,,
309,2752,,,,,,
310,2755,4.0,4.0,0.0,0.0,,0.0
311,2759,,,,,,
312,2778,,3.5,0.0,0.0,1.0,0.0
